deepened V_PST_OLR deepen
clippin V_PRP-NF_OLR clip
zapped V_PAS_ODLR zap
frightenin V_PRP-NF_OLR frighten
hamstrung V_PSP_OLR hamstring
slitting V_PRP_OLR slit
flipped V_PSP_OLR flip
netted V_PSP_OLR net
costed V_PST_OLR cost
reasoning V_PRP_OLR reason
buffered V_PAS_ODLR buffer
nevermatchform V_V-RE_DLR doubled
tbsp N_PL-IRREG-NOAFF_OLR tbsp
developing V_PRP_OLR develop
blurred V_PAS-P_ODLR blur
trapping V_PRP_OLR trap
minuses N_PL-IRREG_OLR minus
nevermatchform V_V-RE_DLR fined
dithered V_PST_OLR dither
shimmered V_PAS_ODLR shimmer
worn V_PAS-PRT-T_ODLR wear
gotten V_PAS-P-P_ODLR get
fish N_PL-IRREG-NOAFF_OLR fish
mustered V_PAS_ODLR muster
quizzed V_PSP_OLR quiz
holstered V_PSP_OLR holster
imbedding V_PRP_OLR imbed
chinnin V_PRP-NF_OLR chin
armorin V_PRP-NF_OLR armor
lopped V_PAS_ODLR lop
bufferin V_PRP-NF_OLR buffer
weaved V_PSP_OLR weave
interred V_PSP_OLR inter
betokened V_PAS_ODLR betoken
uncoverin V_PRP-NF_OLR uncover
tightening V_PRP_OLR tighten
crediting V_PRP_OLR credit
chopped V_PAS-PRT-T_ODLR chop
c N_PL-IRREG-NOAFF_OLR c
endangering V_PRP_OLR endanger
dreamt V_PAS_ODLR dream
yakked V_PST_OLR yak
blisterin V_PRP-NF_OLR blister
beckoned V_PST_OLR beckon
transferring V_PRP_OLR transfer
Frenchmen N_PL-IRREG_OLR Frenchman
lapped V_PAS_ODLR lap
put V_PAS-P_ODLR put
misread V_PST_OLR misread
trumpeted V_PAS_ODLR trumpet
prodded V_PAS_ODLR prod
tipping V_PRP_OLR tip
remitted V_PAS_ODLR remit
dogged V_PST_OLR dog
engendered V_PST_OLR engender
nevermatchform V_V-RE_DLR ply
pg N_PL-IRREG-NOAFF_OLR pg
remitted V_PST_OLR remit
jotted V_PST_OLR jot
sopped V_PSP_OLR sop
fretted V_PAS_ODLR fret
nevermatchform V_V-MIS_DLR spelled
blusterin V_PRP-NF_OLR bluster
set V_PAS_ODLR set
plopped V_PST_OLR plop
delivered V_PSP_OLR deliver
drugged V_PST_OLR drug
wound V_PSP_OLR wind
ones N_PL-IRREG-NOAFF_OLR ones
budgeted V_PST_OLR budget
teetering V_PRP_OLR teeter
hardened V_PST_OLR harden
gossiped V_PSP_OLR gossip
chattered V_PSP_OLR chatter
rivaled V_PST_OLR rival
driven V_PAS_ODLR drive
mopped V_PAS-PRT-T_ODLR mop
christened V_PAS_ODLR christen
set V_PST_OLR set
bummed V_PAS_ODLR bum
struck V_PST_OLR strike
taken V_PSP_OLR take
hummin V_PRP-NF_OLR hum
unfastened V_PAS_ODLR unfasten
partnering V_PRP_OLR partner
overlaid V_PSP_OLR overlay
ridded V_PST_OLR rid
styggedalstinder N_PL-IRREG-NOAFF_OLR styggedalstinder
rubbed V_PAS-P_ODLR rub
puckered V_PSP_OLR pucker
occurred V_PSP_OLR occur
backlit V_PAS-P_ODLR backlight
encountered V_PST_OLR encounter
pg. N_PL-IRREG-NOAFF_OLR pg.
chattin V_PRP-NF_OLR chat
drugged V_PSP_OLR drug
metered V_PST_OLR meter
