
New le type         Old le type
------------------- -------------------------------- 
n_pp_mc-of-ns_le    n_mass_count_ppof_nosort_le
n_pp_mc-for_le      n_mass_count_ppfor_le      
n_pp_mc-to_le       n_mass_count_ppto_le       
n_pp_mc-in_le       n_mass_count_ppin_le       
n_-_m-nocnh_le      n_mass_no_cmpnd_le         
n_-_m-kind_le       n_mass_kind_le             
n_-_mc-col_le       n_color_le                 
n_-_c-pl_le         n_plur_le                  
n_-_c-pl-cpd_le     n_plur_cmpnd_only_le       
n_-_c-pl-nocnh_le   n_plur_nocmpnd_le          
n_-_c-pl-idm_le     n_plur_idiom_le            
n_-_c-pl-mwe_le     n_plur_mwe_le              
n_-_c-pl-one_le     n_ones_le                  
n_-_c-pl-num_le     n_plur_xmod_le             
n_-_c-pl-num-ifl_le n_plur_xmod_le             
n_pp_c-pl_le        n_plur_ppcomp_le           
n_pp_c-pl-crd_le    n_plur_ppcomp_card_le      
n_pp_c-pl-obl_le    n_plur_ppcomp_oblig_le     
n_pp_c-pl-sg_le     n_plur_sing_ppcomp_le      
n_pp_c-gr-of_le     n_group_ppof_le            
n_pp_m-gr-of_le     n_group_mass_ppof_le       
n_pp_mc-a-of_le     n_part_ppof_agr_le         
n_pp_mc-na-of_le    n_part_ppof_noagr_le       
n_pp_mc-pl-na-of_le n_part_ppof_noagr_pl_le    
n_np_mc-a_le        n_part_npcomp_agr_le       
n_np_mc-na_le       n_part_npcomp_noagr_le     
n_-_mc-prt_le       n_part_nocomp_le           
n_vp_c-it_le        n_vpcomp_expl_le           
n_vp_m-it_le        n_mass_vpcomp_expl_le      
n_vpslnp_c_le       n_vpcomp_slash_le          
n_-_pn_le           n_proper_le                
n_-_pn-fem_le       n_proper_fem_le            
n_-_pn-msc_le       n_proper_masc_le           
n_-_pn-sg_le        n_proper_sg_le             
n_-_pn-pl_le        n_proper_pl_le             
n_-_pn-city_le      n_proper_city_le           
n_-_pn-unk_le       n_proper_unk_le            
n_-_pn-unk_le       n_proper_nale              
n_-_pn-abb_le       n_proper_abb_le            
n_-_ad-pl_le        n_adv_pl_le                
n_-_ad-pl-nprd_le   n_adv_pl_nonprd_le         
n_-_ad-time_le      n_adv_tm_le                
n_-_ad-time-ns_le   n_adv_tm_unsp_le           
n_-_ad-loc_le       n_adv_event_le             
n_-_ad-acc_le       n_adv_acc_le               
n_-_ad-dir_le       n_adv_dir_le               
n_-_ad-br_le        n_adv_nospr_le             
n_-_ad-gr_le        n_adv_gradable_le          
n_-_ad-gr-cmp_le    n_adv_gradable_comp_le     
n_-_ad-gr-nm_le     n_adv_gradable_nom_le      
n_-_ad-gr-cmp-nm_le n_adv_gradable_nom_comp_le 
n_-_ad-time-acc_le  n_adv_simp_acc_le          
n_-_ad-cmp_le       n_comp_adv_le              
n_-_ad-wh-pl_le     n_wh_adv_pl_le             
n_-_ad-wh-tm_le     n_wh_adv_tm_le             
n_-_pr-na_le        n_pers_pro_noagr_le        
n_-_pr-he_le        n_pers_pro_he_le           
n_-_pr-she_le       n_pers_pro_she_le          
n_-_pr-her_le       n_pers_pro_her_le          
n_-_pr-him_le       n_pers_pro_him_le          
n_-_pr-i_le         n_pers_pro_i_le            
n_-_pr-me_le        n_pers_pro_me_le           
n_-_pr-you_le       n_pers_pro_you_le          
n_-_pr-it_le        n_pers_pro_it_le           
n_-_pr-we_le        n_pers_pro_we_le           
n_-_pr-us_le        n_pers_pro_us_le           
n_-_pr-they_le      n_pers_pro_they_le         
n_-_pr-them_le      n_pers_pro_them_le         
n_-_pr-thou_le      n_pers_pro_thou_le         
n_-_pr-thee_le      n_pers_pro_thee_le         
n_-_pr-1sg-na_le    n_pers_pro_1sg_noagr_le    
n_-_pr-one-anoth_le n_pers_pro_one_another_le  
n_det_pr-it_le      n_pers_pro_it_le           
n_det_pr-them_le    n_pers_pro_them_le         
n_det_pr-they_le    n_pers_pro_they_le         
n_det_pr-us_le      n_pers_pro_us_le           
n_det_pr-we_le      n_pers_pro_we_le           
n_det_pr-you_le     n_pers_pro_you_le          
n_det_pr-thou_le    n_pers_pro_thou_le         
n_det_pr-thee_le    n_pers_pro_thee_le         
n_det_pr-it_le      n_pers_pro_c_it_le         
n_det_pr-them_le    n_pers_pro_c_them_le       
n_det_pr-they_le    n_pers_pro_c_they_le       
n_det_pr-us_le      n_pers_pro_c_us_le         
n_det_pr-we_le      n_pers_pro_c_we_le         
n_det_pr-you_le     n_pers_pro_c_you_le        
n_det_pr-thou_le    n_pers_pro_c_thou_le       
n_det_pr-thee_le    n_pers_pro_c_thee_le       
n_np_pr-us_le       n_pers_pro_us_np_le        
n_np_pr-we_le       n_pers_pro_we_np_le        
n_np_pr-you_le      n_pers_pro_you_np_le       
n_-_pr-herself_le   n_refl_pro_herself_le      
n_-_pr-himself_le   n_refl_pro_himself_le      
n_-_pr-itself_le    n_refl_pro_itself_le       
n_-_pr-myself_le    n_refl_pro_myself_le       
n_-_pr-ourslves_le  n_refl_pro_ourselves_le    
n_-_pr-themslves_le n_refl_pro_themselves_le   
n_-_pr-yourslves_le n_refl_pro_yourselves_le   
n_-_pr-yourself_le  n_refl_pro_yourself_le     
n_-_pr-oneself_le   n_refl_pro_oneself_le      
n_-_pr-recip_le     n_recip_pro_le             
